id,x,y,europe
399,4,10,True
400,4,11,True
401,4,12,True
402,4,13,True
403,4,14,True
404,4,15,True
405,4,16,True
406,4,17,True
407,4,18,True
408,4,19,True
409,4,20,True
410,4,21,True
411,4,22,True
412,4,23,True
413,4,24,True
414,4,25,True
415,4,26,True
416,4,27,True
417,4,28,True
418,4,29,True
419,4,30,True
420,4,31,True
421,4,32,True
422,4,33,True
423,4,34,True
424,4,35,True
425,4,36,True
426,4,37,True
427,4,38,True
428,4,39,True
429,4,40,True
430,4,41,True
431,4,42,True
432,4,43,True
433,4,44,True
434,4,45,True
435,4,46,True
436,4,47,True
437,4,48,True
438,4,49,True
439,4,50,True
440,4,51,True
441,4,52,True
442,4,53,True
443,4,54,True
444,4,55,True
445,4,56,True
446,4,57,True
447,4,58,True
448,4,59,True
449,4,60,True
450,4,61,True
451,4,62,True
452,4,63,True
453,4,64,True
454,4,65,True
455,4,66,True
456,4,67,True
457,4,68,True
458,4,69,True
459,4,70,True
460,4,71,True
461,4,72,True
462,4,73,True
463,4,74,True
464,4,75,True
465,4,76,True
466,4,77,True
467,4,78,True
468,4,79,True
469,4,80,True
470,4,81,True
471,4,82,True
472,4,83,True
473,4,84,True
474,4,85,True
475,4,86,True
476,4,87,True
477,4,88,True
478,4,89,True
479,4,90,True
480,4,91,True
481,4,92,True
482,4,93,True
483,4,94,True
484,4,95,True
485,4,96,True
486,5,0,True
487,5,1,True
488,5,2,True
489,5,3,True
490,5,4,True
491,5,5,True
492,5,6,True
493,5,7,True
494,5,8,True
495,5,9,True
496,5,10,True
497,5,11,True
498,5,12,True
499,5,13,True
500,5,14,True
501,5,15,True
502,5,16,True
503,5,17,True
504,5,18,True
505,5,19,True
506,5,20,True
507,5,21,True
508,5,22,True
509,5,23,True
510,5,24,True
511,5,25,True
512,5,26,True
513,5,27,True
514,5,28,True
515,5,29,True
516,5,30,True
517,5,31,True
518,5,32,True
519,5,33,True
520,5,34,True
521,5,35,True
522,5,36,True
523,5,37,True
524,5,38,True
525,5,39,True
526,5,40,True
527,5,41,True
528,5,42,True
529,5,43,True
530,5,44,True
531,5,45,True
532,5,46,True
533,5,47,True
534,5,48,True
535,5,49,True
536,5,50,True
537,5,51,True
538,5,52,True
539,5,53,True
540,5,54,True
541,5,55,True
542,5,56,True
543,5,57,True
544,5,58,True
545,5,59,True
546,5,60,True
547,5,61,True
548,5,62,True
549,5,63,True
550,5,64,True
551,5,65,True
552,5,66,True
553,5,67,True
554,5,68,True
555,5,69,True
556,5,70,True
557,5,71,True
558,5,72,True
559,5,73,True
560,5,74,True
561,5,75,True
562,5,76,True
563,5,77,True
564,5,78,True
565,5,79,True
566,5,80,True
567,5,81,True
568,5,82,True
569,5,83,True
570,5,84,True
571,5,85,True
572,5,86,True
573,5,87,True
574,5,88,True
575,5,89,True
576,5,90,True
577,5,91,True
578,5,92,True
579,5,93,True
580,5,94,True
581,5,95,True
582,5,96,True
583,6,0,True
584,6,1,True
585,6,2,True
586,6,3,True
587,6,4,True
588,6,5,True
589,6,6,True
590,6,7,True
591,6,8,True
592,6,9,True
593,6,10,True
594,6,11,True
595,6,12,True
596,6,13,True
597,6,14,True
598,6,15,True
599,6,16,True
600,6,17,True
601,6,18,True
602,6,19,True
603,6,20,True
604,6,21,True
605,6,22,True
606,6,23,True
607,6,24,True
608,6,25,True
609,6,26,True
610,6,27,True
611,6,28,True
612,6,29,True
613,6,30,True
614,6,31,True
615,6,32,True
616,6,33,True
617,6,34,True
618,6,35,True
619,6,36,True
620,6,37,True
621,6,38,True
622,6,39,True
623,6,40,True
624,6,41,True
625,6,42,True
626,6,43,True
627,6,44,True
628,6,45,True
629,6,46,True
630,6,47,True
631,6,48,True
632,6,49,True
633,6,50,True
634,6,51,True
635,6,52,True
636,6,53,True
637,6,54,True
638,6,55,True
639,6,56,True
640,6,57,True
641,6,58,True
642,6,59,True
643,6,60,True
644,6,61,True
645,6,62,True
646,6,63,True
647,6,64,True
648,6,65,True
649,6,66,True
650,6,67,True
651,6,68,True
652,6,69,True
653,6,70,True
654,6,71,True
655,6,72,True
656,6,73,True
657,6,74,True
658,6,75,True
659,6,76,True
660,6,77,True
661,6,78,True
662,6,79,True
663,6,80,True
664,6,81,True
665,6,82,True
666,6,83,True
667,6,84,True
668,6,85,True
669,6,86,True
670,6,87,True
671,6,88,True
672,6,89,True
673,6,90,True
674,6,91,True
675,6,92,True
676,6,93,True
677,6,94,True
678,6,95,True
679,6,96,True
680,7,0,True
681,7,1,True
682,7,2,True
683,7,3,True
684,7,4,True
685,7,5,True
686,7,6,True
687,7,7,True
688,7,8,True
689,7,9,True
690,7,10,True
691,7,11,True
692,7,12,True
693,7,13,True
694,7,14,True
695,7,15,True
696,7,16,True
697,7,17,True
698,7,18,True
699,7,19,True
700,7,20,True
701,7,21,True
702,7,22,True
703,7,23,True
704,7,24,True
705,7,25,True
706,7,26,True
707,7,27,True
708,7,28,True
709,7,29,True
710,7,30,True
711,7,31,True
712,7,32,True
713,7,33,True
714,7,34,True
715,7,35,True
716,7,36,True
717,7,37,True
718,7,38,True
719,7,39,True
720,7,40,True
721,7,41,True
722,7,42,True
723,7,43,True
724,7,44,True
725,7,45,True
726,7,46,True
727,7,47,True
728,7,48,True
729,7,49,True
730,7,50,True
731,7,51,True
732,7,52,True
733,7,53,True
734,7,54,True
735,7,55,True
736,7,56,True
737,7,57,True
738,7,58,True
739,7,59,True
740,7,60,True
741,7,61,True
742,7,62,True
743,7,63,True
744,7,64,True
745,7,65,True
746,7,66,True
747,7,67,True
748,7,68,True
749,7,69,True
750,7,70,True
751,7,71,True
752,7,72,True
753,7,73,True
754,7,74,True
755,7,75,True
756,7,76,True
757,7,77,True
758,7,78,True
759,7,79,True
760,7,80,True
761,7,81,True
762,7,82,True
763,7,83,True
764,7,84,True
765,7,85,True
766,7,86,True
767,7,87,True
768,7,88,True
769,7,89,True
770,7,90,True
771,7,91,True
772,7,92,True
773,7,93,True
774,7,94,True
775,7,95,True
776,7,96,True
777,8,0,True
778,8,1,True
779,8,2,True
780,8,3,True
781,8,4,True
782,8,5,True
783,8,6,True
784,8,7,True
785,8,8,True
786,8,9,True
787,8,10,True
788,8,11,True
789,8,12,True
790,8,13,True
791,8,14,True
792,8,15,True
793,8,16,True
794,8,17,True
795,8,18,True
796,8,19,True
797,8,20,True
798,8,21,True
799,8,22,True
800,8,23,True
801,8,24,True
802,8,25,True
803,8,26,True
804,8,27,True
805,8,28,True
806,8,29,True
807,8,30,True
808,8,31,True
809,8,32,True
810,8,33,True
811,8,34,True
812,8,35,True
813,8,36,True
814,8,37,True
815,8,38,True
816,8,39,True
817,8,40,True
818,8,41,True
819,8,42,True
820,8,43,True
821,8,44,True
822,8,45,True
823,8,46,True
824,8,47,True
825,8,48,True
826,8,49,True
827,8,50,True
828,8,51,True
829,8,52,True
830,8,53,True
831,8,54,True
832,8,55,True
833,8,56,True
834,8,57,True
835,8,58,True
836,8,59,True
837,8,60,True
838,8,61,True
839,8,62,True
840,8,63,True
841,8,64,True
842,8,65,True
843,8,66,True
844,8,67,True
845,8,68,True
